Time,random seed,splitwindow_time,labelcount,audiofeature_method,videofeature_method,batch_size,num_epochs,feature_max_len,lr,Weighted_F1,Unweighted_F1,Weighted_Acc,Unweighted_Acc,Confusion_Matrix
2025-06-25 15:56:37,3407,1s,2,mfccs,resnet,16,500,25,0.000600,0.8523,0.8516,0.8583,0.8519,[12 3] [1 11]
2025-07-20 21:32:48,3407,1s,2,mfccs,resnet,16,500,25,0.000600,0.7387,0.7294,0.7300,0.7556,[24 1] [10 10]
