Time,random seed,splitwindow_time,labelcount,audiofeature_method,videofeature_method,batch_size,num_epochs,feature_max_len,lr,Weighted_F1,Unweighted_F1,Weighted_Acc,Unweighted_Acc,Confusion_Matrix
2025-06-25 16:05:35,3407,1s,2,mfccs,densenet,16,500,25,0.000600,0.7778,0.7750,0.7750,0.7778,[12 3] [3 9]
2025-07-20 21:18:14,3407,1s,2,mfccs,densenet,16,500,25,0.000600,0.7102,0.7059,0.7050,0.7111,[19 6] [7 13]
