Time,random seed,splitwindow_time,labelcount,audiofeature_method,videofeature_method,batch_size,num_epochs,feature_max_len,lr,Weighted_F1,Unweighted_F1,Weighted_Acc,Unweighted_Acc,Confusion_Matrix
2025-06-25 18:03:14,3407,5s,3,mfccs,resnet,8,500,6,0.000400,0.6263,0.4646,0.4889,0.6667,[12 3 0] [3 6 0] [3 0 0]
2025-07-21 00:01:33,3407,5s,3,mfccs,resnet,8,500,6,0.000400,0.6060,0.4496,0.4756,0.6444,[19 6 0] [5 10 0] [5 0 0]
