Time,random seed,splitwindow_time,labelcount,audiofeature_method,videofeature_method,batch_size,num_epochs,feature_max_len,lr,Weighted_F1,Unweighted_F1,Weighted_Acc,Unweighted_Acc,Confusion_Matrix
2025-04-21 19:03:51,3407,5s,3,wav2vec,openface,16,400,5,0.000148,0.6273,0.4097,0.5147,0.5111,[14 8 6] [0 0 0] [0 8 9]
2025-05-09 14:52:55,3407,5s,3,wav2vec,openface,16,400,5,0.000148,0.6041,0.4845,0.5463,0.6818,[6 2 0] [3 24 0] [1 8 0]
2025-07-07 12:34:15,3407,5s,3,wav2vec,openface,8,500,6,0.000400,0.6349,0.4571,0.4889,0.6667,[12 3 0] [3 6 0] [0 3 0]
2025-07-21 00:19:53,3407,5s,3,wav2vec,openface,8,500,6,0.000400,0.6263,0.4646,0.4889,0.6667,[20 5 0] [5 10 0] [5 0 0]
